id,username,password,email,firstname,lastname,group
79,student10074,pass123,student10074@email.com,Student,10074,giỏi
80,student10075,pass123,student10075@email.com,Student,10075,yếu
81,student10076,pass123,student10076@email.com,Student,10076,giỏi
82,student10077,pass123,student10077@email.com,Student,10077,yếu
83,student10078,pass123,student10078@email.com,Student,10078,yếu
84,student10079,pass123,student10079@email.com,Student,10079,giỏi
85,student10080,pass123,student10080@email.com,Student,10080,yếu
86,student10081,pass123,student10081@email.com,Student,10081,yếu
87,student10082,pass123,student10082@email.com,Student,10082,giỏi
88,student10083,pass123,student10083@email.com,Student,10083,giỏi
89,student10084,pass123,student10084@email.com,Student,10084,khá
90,student10085,pass123,student10085@email.com,Student,10085,khá
91,student10086,pass123,student10086@email.com,Student,10086,yếu
92,student10087,pass123,student10087@email.com,Student,10087,yếu
93,student10088,pass123,student10088@email.com,Student,10088,yếu
94,student10089,pass123,student10089@email.com,Student,10089,khá
95,student10090,pass123,student10090@email.com,Student,10090,khá
96,student10091,pass123,student10091@email.com,Student,10091,giỏi
97,student10092,pass123,student10092@email.com,Student,10092,khá
98,student10093,pass123,student10093@email.com,Student,10093,giỏi
99,student10094,pass123,student10094@email.com,Student,10094,giỏi
100,student10095,pass123,student10095@email.com,Student,10095,yếu
101,student10096,pass123,student10096@email.com,Student,10096,yếu
102,student10097,pass123,student10097@email.com,Student,10097,khá
103,student10098,pass123,student10098@email.com,Student,10098,yếu
104,student10099,pass123,student10099@email.com,Student,10099,yếu
105,student10100,pass123,student10100@email.com,Student,10100,yếu
